"REF_DATE","GEO","DGUID","Self-reported cannabis use in the past three months","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","Number of people","Number","223","thousands","3","v1038100565","1.1","4178.8","","","","1"
"2018-01","Canada","2016A000011124","Percentage of people","Percent","239","units ","0","v1038100587","1.2","14.0","","","","1"
"2018-01","Canada","2016A000011124","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100609","1.3","12.7","","","","1"
"2018-01","Canada","2016A000011124","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100631","1.4","15.4","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Number of people","Number","223","thousands","3","v1038100566","2.1","72.3","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Percentage of people","Percent","239","units ","0","v1038100588","2.2","16.4","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100610","2.3","12.6","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100632","2.4","21.1","","","","1"
"2018-01","Prince Edward Island","2016A000211","Number of people","Number","223","thousands","3","v1038100567","3.1","17.4","","","","1"
"2018-01","Prince Edward Island","2016A000211","Percentage of people","Percent","239","units ","0","v1038100589","3.2","14.1","","","","1"
"2018-01","Prince Edward Island","2016A000211","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100611","3.3","10.3","","","","1"
"2018-01","Prince Edward Island","2016A000211","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100633","3.4","18.9","","","","1"
"2018-01","Nova Scotia","2016A000212","Number of people","Number","223","thousands","3","v1038100568","4.1","158.1","","","","1"
"2018-01","Nova Scotia","2016A000212","Percentage of people","Percent","239","units ","0","v1038100590","4.2","20.0","","","","1"
"2018-01","Nova Scotia","2016A000212","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100612","4.3","15.5","","","","1"
"2018-01","Nova Scotia","2016A000212","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100634","4.4","25.5","","","","1"
"2018-01","New Brunswick","2016A000213","Number of people","Number","223","thousands","3","v1038100569","5.1","88.9","","","","1"
"2018-01","New Brunswick","2016A000213","Percentage of people","Percent","239","units ","0","v1038100591","5.2","14.3","","","","1"
"2018-01","New Brunswick","2016A000213","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100613","5.3","10.3","","","","1"
"2018-01","New Brunswick","2016A000213","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100635","5.4","19.5","","","","1"
"2018-01","Quebec","2016A000224","Number of people","Number","223","thousands","3","v1038100570","6.1","712.0","","","","1"
"2018-01","Quebec","2016A000224","Percentage of people","Percent","239","units ","0","v1038100592","6.2","10.4","","","","1"
"2018-01","Quebec","2016A000224","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100614","6.3","8.2","","","","1"
"2018-01","Quebec","2016A000224","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100636","6.4","13.0","","","","1"
"2018-01","Ontario","2016A000235","Number of people","Number","223","thousands","3","v1038100571","7.1","1583.3","","","","1"
"2018-01","Ontario","2016A000235","Percentage of people","Percent","239","units ","0","v1038100593","7.2","13.5","","","","1"
"2018-01","Ontario","2016A000235","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100615","7.3","11.2","","","","1"
"2018-01","Ontario","2016A000235","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100637","7.4","16.3","","","","1"
"2018-01","Manitoba","2016A000246","Number of people","Number","223","thousands","3","v1038100572","8.1","168.5","","","","1"
"2018-01","Manitoba","2016A000246","Percentage of people","Percent","239","units ","0","v1038100594","8.2","16.6","","","","1"
"2018-01","Manitoba","2016A000246","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100616","8.3","13.0","","","","1"
"2018-01","Manitoba","2016A000246","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100638","8.4","21.0","","","","1"
"2018-01","Saskatchewan","2016A000247","Number of people","Number","223","thousands","3","v1038100573","9.1","132.4","","","","1"
"2018-01","Saskatchewan","2016A000247","Percentage of people","Percent","239","units ","0","v1038100595","9.2","15.1","","","","1"
"2018-01","Saskatchewan","2016A000247","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100617","9.3","11.8","","","","1"
"2018-01","Saskatchewan","2016A000247","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100639","9.4","19.2","","","","1"
"2018-01","Alberta","2016A000248","Number of people","Number","223","thousands","3","v1038100574","10.1","570.9","","","","1"
"2018-01","Alberta","2016A000248","Percentage of people","Percent","239","units ","0","v1038100596","10.2","16.6","","","","1"
"2018-01","Alberta","2016A000248","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100618","10.3","13.2","","","","1"
"2018-01","Alberta","2016A000248","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100640","10.4","20.6","","","","1"
"2018-01","British Columbia","2016A000259","Number of people","Number","223","thousands","3","v1038100575","11.1","675.0","","","","1"
"2018-01","British Columbia","2016A000259","Percentage of people","Percent","239","units ","0","v1038100597","11.2","17.1","","","","1"
"2018-01","British Columbia","2016A000259","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100619","11.3","13.9","","","","1"
"2018-01","British Columbia","2016A000259","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100641","11.4","20.9","","","","1"
"2018-01","Whitehorse (Yukon)","2016A000260","Number of people","Number","223","thousands","3","v1038100576","12.1","","..","","","1"
"2018-01","Whitehorse (Yukon)","2016A000260","Percentage of people","Percent","239","units ","0","v1038100598","12.2","","..","","","1"
"2018-01","Whitehorse (Yukon)","2016A000260","Lower limit, 95% confidence interval","Percent","239","units ","0","v1038100620","12.3","","..","","","1"
"2018-01","Whitehorse (Yukon)","2016A000260","Upper limit, 95% confidence interval","Percent","239","units ","0","v1038100642","12.4","","..","","","1"
"2018-01","Yellowknife (Northwest Territories)","2016A000261","Number of people","Number","223","thousands","3","v1038100577","13.1","","..","","","1"
"2018-01","Yellowknife (Northwest Territories)","2016A000261","Percentage of people","Percent","239","units ","0","v1038100599","13.2","","..","","","1"
